Clean_Player,Team,G,A,Pts,plus_minus,Sh,PIM,Games_Played
Carl Fish,Minnesota,0,3,3,8,31,15,38
Carson Albrecht,North Dakota,2,1,3,-1,19,8,26
Carson Bantle,Wisconsin,14,5,19,7,97,45,39
Carson Buydens,Princeton,2,1,3,-10,27,12,22
Carson Cherepak,Rensselaer,0,0,0,0,0,0,9
Carson Dyck,Penn State,0,2,2,-7,27,16,30
Carson Kosobud,Alaska-Anchorage,1,7,8,1,53,33,33
Carson Peters,St. Thomas,0,3,3,0,32,22,37
Carter Batchelder,Lake Superior,8,7,15,-6,53,14,34
Carter Belitski,Alaska-Anchorage,0,1,1,-1,9,2,14
Carter Berger,Western Michigan,4,16,20,14,78,14,36
Carter Clafton,Air Force,0,0,0,0,0,0,1
Carter Gylander,Colgate,0,1,1,0,0,0,32
Carter Jones,Bemidji State,6,18,24,-1,52,12,37
Carter King,Denver,15,19,34,8,98,2,37
Carter Korpi,Union,10,3,13,6,45,36,35
Carter Loney,Minnesota-Duluth,3,2,5,-8,29,31,33
Carter McPhail,Miami,0,0,0,0,0,0,2
Carter Randklev,Niagara,11,20,31,5,75,39,37
Carter Rose,Clarkson,1,0,1,0,7,4,15
Carter Schade,Penn State,0,0,0,-9,34,15,21
Carter Slaggert,Notre Dame,3,4,7,-11,27,24,32
Carter Wilkie,RIT,16,25,41,20,136,32,40
Case McCarthy,Boston University,4,5,9,19,44,10,39
Casey Aman,Penn State,1,1,2,2,12,2,20
Casey McDonald,American Int'l,4,3,7,-8,54,22,31
Casey Severo,Harvard,8,5,13,-3,35,6,32
Casper Soderling,American Int'l,1,3,4,-4,12,2,12
Cedric Fiedler,Western Michigan,0,8,8,24,30,23,38
Chad Hillebrand,Western Michigan,7,19,26,21,72,44,38
Chad Veltri,Robert Morris,0,1,1,0,0,0,32
Charles Banquier,Stonehill,2,2,4,-12,14,26,15
Charles Merkley,Robert Morris,0,0,0,-3,2,0,9
Charles-Alexis Legault,Quinnipiac,9,15,24,36,70,53,39
Charlie Glockner,Northern Michigan,0,0,0,0,0,0,9
Charlie Leddy,Boston College,0,8,8,15,19,12,39
Charlie Lurie,Omaha,0,1,1,0,6,2,4
Charlie Russell,Clarkson,0,0,0,-4,5,0,7
Charlie Schoen,Arizona State,8,16,24,5,45,31,33
Charlie Spence,Holy Cross,0,1,1,-3,3,4,14
Charlie Stramel,Wisconsin,3,5,8,-4,42,20,34
Charlie Strobel,Minnesota,2,1,3,1,21,17,29
Chase Bradley,Connecticut,11,11,22,4,101,53,31
Chase Brand,Augustana,5,7,12,-12,36,15,30
Chase Cheslock,St. Thomas,1,2,3,-3,27,6,19
Chase Clark,Sacred Heart,0,1,1,0,0,0,19
Chase Dafoe,Alaska,7,7,14,4,38,54,31
Chase Davis,Bentley,8,8,16,-5,60,18,35
Chase Dubois,Alaska,6,7,13,7,44,19,30
Chase Foley,Colorado College,2,14,16,0,41,6,32
Chase Hamm,Arizona State,0,0,0,0,0,0,1
Chase McLane,Penn State,3,3,6,-11,28,11,17
Chase Pietila,Michigan Tech,3,19,22,1,78,60,40
Chase Pletzke,Michigan,1,1,2,3,14,0,30
Chase Ramsay,Quinnipiac,0,0,0,-1,1,0,4
Chase Stevenson,Merrimack,4,0,4,-8,28,10,15
Chase Yoder,Providence,11,9,20,-3,85,26,35
Chaz Smedsrud,Union,14,8,22,-8,72,6,37
Chikara Hanzawa,Sacred Heart,2,0,2,-6,27,6,28
Chris Hedden,Air Force,8,29,37,-15,148,37,38
Chris Pappas,Long Island,10,19,29,-3,63,10,32
Chris Theodore,Vermont,8,6,14,-9,44,0,30
Christian Berger,Penn State,2,4,6,-10,39,6,30
Christian Catalano,RIT,9,8,17,13,77,60,36
Christian Felton,Merrimack,3,4,7,-3,39,4,26
Christian Fitzgerald,Wisconsin,7,17,24,8,88,16,37
Christian Gorscak,Niagara,1,1,2,-2,10,4,23
Christian Jimenez,Harvard,0,1,1,-9,23,12,18
Christian MacDougall,Canisius,1,0,1,0,5,4,7
Christian Sanda,Massachusetts,0,2,2,-4,5,4,15
Christian Sarlo,Penn State,2,6,8,-8,47,2,25
Christian Stoever,Bowling Green,0,1,1,0,0,2,14
Christophe Fillion,Quinnipiac,12,7,19,11,65,29,39
Clayton Cosentino,Air Force,10,18,28,-9,62,6,38
Clint Levens,Providence,0,3,3,-1,28,31,24
Cody Laskosky,RIT,14,27,41,16,125,26,37
Cody Monds,Clarkson,7,8,15,-7,35,21,30
Cody Schiavon,Canisius,3,5,8,2,16,21,28
Colby Ambrosio,Boston College,2,6,8,-4,58,10,40
Colby Enns,Northern Michigan,1,3,4,2,43,4,28
Colby MacArthur,Union,4,6,10,-3,33,4,29
Cole Brady,Massachusetts,0,0,0,0,0,2,9
Cole Burtch,Western Michigan,0,1,1,0,0,4,3
Cole Craft,Lake Superior,2,2,4,-1,19,4,17
Cole Crusberg-Roseen,Western Michigan,0,3,3,6,37,10,22
Cole Galata,Sacred Heart,0,2,2,-8,10,4,20
Cole Gordon,Arizona State,3,0,3,4,31,23,30
Cole Hanson,Maine,4,4,8,-3,34,4,34
Cole Helm,Arizona State,0,1,1,1,3,17,6
Cole Hudson,American Int'l,0,0,0,0,0,0,1
Cole Knuble,Notre Dame,9,11,20,4,89,12,36
Cole Kodsi,Union,3,1,4,-11,25,8,16
Cole Mickel,Niagara,2,3,5,-5,26,4,28
Cole Miller,St. Thomas,1,6,7,0,28,47,37
Cole Moore,Bowling Green,0,0,0,0,0,0,25
Cole O'Hara,Massachusetts,7,11,18,-1,71,18,37
Cole Spicer,Minnesota-Duluth,5,4,9,2,31,8,17
Collin Graf,Quinnipiac,22,27,49,23,123,4,34
Coltan Wilkie,Lindenwood,1,3,4,-1,18,24,17
Colton Cameron,Bentley,2,3,5,2,16,10,24
Colton Friesen,Augustana,3,8,11,-3,36,6,24
Colton Huard,New Hampshire,5,17,22,1,85,16,36
Conner Hutchison,Sacred Heart,1,4,5,-4,18,2,14
Connor Callaghan,Princeton,0,0,0,0,0,0,5
Connor Caponi,Denver,5,9,14,4,36,26,44
Connor Eddy,Northern Michigan,7,6,13,-6,55,40,34
Connor Gregga,Minnesota State,2,2,4,-4,30,8,28
Connor Hasley,Bentley,0,0,0,0,0,2,21
Connor Hopkins,Northeastern,0,0,0,0,0,0,3
Connor Joyce,Boston College,2,4,6,-1,34,6,35
Connor Kelley,Providence,1,11,12,7,29,12,34
Connor Kurth,Minnesota,7,14,21,-5,68,14,37
Connor Marritt,Alaska-Anchorage,7,7,14,6,51,7,33
Connor Mayer,Colorado College,0,5,5,11,51,24,37
Connor McGrath,Ferris State,1,3,4,-11,35,6,28
Connor McMenamin,Minnesota-Duluth,6,15,21,-9,67,12,35
Connor Milburn,Lake Superior,16,19,35,14,81,30,34
Connor Mylymok,Niagara,6,5,11,-1,64,61,37
Connor Pelc,Mercyhurst,1,4,5,-5,39,14,29
Connor Sullivan,Yale,0,5,5,-12,38,29,30
Connor Sweeney,New Hampshire,0,4,4,-2,20,8,32
Connor Welsh,Holy Cross,0,1,1,1,9,4,13
Conor Cole,Alaska-Anchorage,0,3,3,-7,14,14,20
Conor Lovett,New Hampshire,1,2,3,0,9,0,20
Conor Ronayne,Stonehill,0,5,5,-34,31,32,33
Cooper Black,Dartmouth,0,1,1,0,0,0,30
Cooper Connell,Bentley,0,0,0,0,1,0,2
Cooper Flinton,Dartmouth,15,10,25,1,71,25,30
Cooper Gay,St. Thomas,12,9,21,3,95,28,29
Cooper Haar,Canisius,1,5,6,-5,25,16,25
Cooper Moore,Quinnipiac,3,19,22,26,88,26,39
Cooper Wylie,St. Cloud State,3,3,6,-2,46,15,38
Craig Needham,Providence,4,7,11,-4,50,31,34
Cristophe Tellier,Quinnipiac,7,19,26,11,70,12,39
Crossley Stewart,RIT,2,6,8,7,36,23,30
Cruz Lucius,Wisconsin,13,21,34,0,116,10,36
Cullen DeYoung,Sacred Heart,0,0,0,0,0,0,3
Cullen Ferguson,Union,3,15,18,3,80,60,37
Cutter Gauthier,Boston College,38,27,65,23,212,18,41
Cy LeClerc,New Hampshire,10,18,28,7,94,17,36
DJ Hart,Union,1,4,5,-6,21,25,22
Daimon Gardner,Clarkson,1,5,6,-7,36,8,29
Dallas Tulik,Robert Morris,6,17,23,-12,51,24,37
Dalton Bancroft,Cornell,12,19,31,14,77,25,34
Dalton Messina,Ohio State,6,8,14,-10,56,20,38
Dalton Norris,Bowling Green,5,5,10,-9,53,19,23
Damien Carfagna,Ohio State,2,4,6,-10,57,10,34
Dane Dowiak,Penn State,6,5,11,-16,65,24,31
Dane Montgomery,North Dakota,1,1,2,1,9,0,16
Daniel Baldassarra,Long Island,0,0,0,-2,2,4,8
Daniel Chenard,RIT,0,0,0,0,0,0,1
Daniel Ebrahim,Sacred Heart,9,3,12,-4,78,19,31
Daniel Hilsendager,Western Michigan,1,7,8,5,52,19,33
Daniel Laatsch,Wisconsin,2,9,11,17,51,6,40
Daniel Panetta,Colgate,13,16,29,2,95,6,36
