PLAYER,2023/24 TEAM,GP,G,A,P,POS.,YR.,HOMETOWN,STATE/COUNTRY,HT/WT,DESTINATION TEAM,NOTABLE INFO,23/24 CONFERENCE,NEW CONFERENCE,DATE ADDED TO LIST
Andrei Buyalsky,Vermont,25,3,8,11,F,Jr.,Karaganda,Kazakhstan,6'3 / 190,PRO - KHL,2021 3rd round pick of COL.,Hockey East,PRO,4/1/2024
Chikara Hanzawa,Sacred Heart,28,2,0,2,F,So.,Tokyo,Japan,5'6 / 143,PRO - South Korea,,Atlantic,PRO,3/31/2024
Rowan Miller ,Alaska-Anchorage,10,0,1,1,F,So.,Scottsdale,Arizona,5'11 / 165,PRO - Sweden,,Independent,PRO,4/1/2024
Adam Arvedson,Merrimack,21,1,3,4,D,Jr.,Karlstad,Sweden,6'0 / 176,PRO - Sweden,,Hockey East,PRO,3/20/2024
Ryan O'Reilly,Arizona State,37,9,6,15,F,Sr.,Southlake,Texas,6'3 / 220,Providence,2018 4th round pick of DET,Independent,Hockey East,3/15/2024
Logan Will,Colorado College,37,7,11,18,F,Sr.,Ames,Iowa,5'11 / 185,Providence,,NCHC,Hockey East,3/29/2024
Zach Borgiel,Merrimack,16,3.26,0.89,6,G,Sr.,Fort Gratiot,Michigan,6'2 / 205,Providence,,Hockey East,Hockey East,3/18/2024
Carl Fish,Minnesota,38,0,3,3,D,Sr.,St. Paul,Minnesota,6'3 / 209,Providence,,Big 10 ,Hockey East,4/9/2024
Cameron Gendron,New Hampshire,10,1,2,3,F,Sr.,Wilmington,Massachusetts,6'3 / 181,Providence,,Hockey East,Hockey East,3/26/2024
Charlie Leddy,Boston College,39,0,8,8,D,So.,Fairfield,Connecticut,6'2 / 185,Quinnipiac,2022 4th round pick of NJD.,Hockey East,ECAC,4/18/2024
Jeremy Wilmer,Boston University,38,6,30,36,F,So.,Rockville Centre,New York,5'8 / 154,Quinnipiac,,Hockey East,ECAC,4/15/2024
Jack Ricketts,Holy Cross,39,19,16,35,F,Sr.,"Oakville, ON",Canada,6'1 / 194,Quinnipiac,,Atlantic,ECAC,3/21/2024
Aaron Bohlinger,Massachusetts,34,3,5,8,D,Sr.,Newburgh,New York,5'9 / 165,Quinnipiac,,Hockey East,ECAC,4/1/2024
Nate Benoit,North Dakota,19,0,1,1,D,Fr.,Bow,New Hampshire,6'1 / 187,Quinnipiac,2021 6th round pick of MIN. ,NCHC,ECAC,4/5/2024
Charlie Glockner,Northern Michigan,9,3.26,0.885,3,G,Jr.,Minnetonka,Minnesota,6'3 / 181,RETIRED,Announced transfer to SCSU but is instead retiring,CCHA,N/A,3/31/2024
Trent Burnham,Lindenwood,27,3.91,0.905,6,G,Jr.,Eagle River,Alaska,6'0 / 163,RIT,Played both NCAA and ACHA hockey at Lindenwood.,Independent,Atlantic,3/18/2024
Nick Cafarelli,New Hampshire,28,6,5,11,F,Sr.,Middleton,Massachusetts,5'10 / 185,RIT,,Hockey East,,3/27/2024
