Team,Allowed_within_1s,Allowed_within_2s,Allowed_within_3s,Allowed_within_4s,Allowed_within_5s,Allowed_within_6s,Allowed_within_7s,Allowed_within_8s,Allowed_within_9s,Allowed_within_10s,Total_Goals_Allowed,Allowed_within_1s_pct,Allowed_within_2s_pct,Allowed_within_3s_pct,Allowed_within_4s_pct,Allowed_within_5s_pct,Allowed_within_6s_pct,Allowed_within_7s_pct,Allowed_within_8s_pct,Allowed_within_9s_pct,Allowed_within_10s_pct,Total_Goals,Scored_within_1s,Scored_within_1s_pct,Scored_within_2s,Scored_within_2s_pct,Scored_within_3s,Scored_within_3s_pct,Scored_within_4s,Scored_within_4s_pct,Scored_within_5s,Scored_within_5s_pct,Scored_within_6s,Scored_within_6s_pct,Scored_within_7s,Scored_within_7s_pct,Scored_within_8s,Scored_within_8s_pct,Scored_within_9s,Scored_within_9s_pct,Scored_within_10s,Scored_within_10s_pct
Miami,0,0,0,0,3,4,5,7,9,9,93,0.0,0.0,0.0,0.0,0.03225806451612903,0.043010752688172046,0.053763440860215055,0.07526881720430108,0.0967741935483871,0.0967741935483871,44.0,0.0,0.0,0.0,0.0,1.0,0.022727272727272728,1.0,0.022727272727272728,1.0,0.022727272727272728,1.0,0.022727272727272728,1.0,0.022727272727272728,2.0,0.045454545454545456,3.0,0.06818181818181818,3.0,0.06818181818181818
Michigan,0,0,3,3,4,4,6,7,8,8,84,0.0,0.0,0.03571428571428571,0.03571428571428571,0.047619047619047616,0.047619047619047616,0.07142857142857142,0.08333333333333333,0.09523809523809523,0.09523809523809523,87.0,0.0,0.0,0.0,0.0,2.0,0.022988505747126436,2.0,0.022988505747126436,3.0,0.034482758620689655,4.0,0.04597701149425287,5.0,0.05747126436781609,6.0,0.06896551724137931,7.0,0.08045977011494253,7.0,0.08045977011494253
Michigan State,0,0,0,0,0,0,3,3,6,6,57,0.0,0.0,0.0,0.0,0.0,0.0,0.05263157894736842,0.05263157894736842,0.10526315789473684,0.10526315789473684,94.0,0.0,0.0,1.0,0.010638297872340425,2.0,0.02127659574468085,5.0,0.05319148936170213,6.0,0.06382978723404255,8.0,0.0851063829787234,8.0,0.0851063829787234,11.0,0.11702127659574468,14.0,0.14893617021276595,18.0,0.19148936170212766
Michigan Tech,0,1,1,1,2,3,3,3,4,5,54,0.0,0.018518518518518517,0.018518518518518517,0.018518518518518517,0.037037037037037035,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.07407407407407407,0.09259259259259259,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.029850746268656716,2.0,0.029850746268656716,2.0,0.029850746268656716,3.0,0.04477611940298507,4.0,0.05970149253731343,6.0,0.08955223880597014
Minnesota,0,1,1,3,3,3,5,8,10,11,72,0.0,0.013888888888888888,0.013888888888888888,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.06944444444444445,0.1111111111111111,0.1388888888888889,0.1527777777777778,111.0,0.0,0.0,0.0,0.0,1.0,0.009009009009009009,1.0,0.009009009009009009,2.0,0.018018018018018018,2.0,0.018018018018018018,4.0,0.036036036036036036,7.0,0.06306306306306306,10.0,0.09009009009009009,13.0,0.11711711711711711
Minnesota Duluth,0,0,1,1,1,2,3,4,5,6,65,0.0,0.0,0.015384615384615385,0.015384615384615385,0.015384615384615385,0.03076923076923077,0.046153846153846156,0.06153846153846154,0.07692307692307693,0.09230769230769231,64.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.015625,3.0,0.046875,3.0,0.046875,3.0,0.046875,5.0,0.078125,6.0,0.09375,6.0,0.09375
Minnesota State,0,0,0,0,0,0,0,1,1,1,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.025,0.025,71.0,0.0,0.0,0.0,0.0,1.0,0.014084507042253521,1.0,0.014084507042253521,3.0,0.04225352112676056,5.0,0.07042253521126761,5.0,0.07042253521126761,6.0,0.08450704225352113,7.0,0.09859154929577464,7.0,0.09859154929577464
New Hampshire,0,0,0,0,1,1,2,2,2,2,63,0.0,0.0,0.0,0.0,0.015873015873015872,0.015873015873015872,0.031746031746031744,0.031746031746031744,0.031746031746031744,0.031746031746031744,69.0,0.0,0.0,1.0,0.014492753623188406,1.0,0.014492753623188406,2.0,0.028985507246376812,5.0,0.07246376811594203,5.0,0.07246376811594203,5.0,0.07246376811594203,5.0,0.07246376811594203,5.0,0.07246376811594203,5.0,0.07246376811594203
Niagara,0,0,2,2,4,4,4,4,5,6,78,0.0,0.0,0.02564102564102564,0.02564102564102564,0.05128205128205128,0.05128205128205128,0.05128205128205128,0.05128205128205128,0.0641025641025641,0.07692307692307693,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.023809523809523808,3.0,0.03571428571428571,4.0,0.047619047619047616,4.0,0.047619047619047616,6.0,0.07142857142857142,6.0,0.07142857142857142
North Dakota,0,0,0,0,0,0,0,0,1,3,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016666666666666666,0.05,70.0,0.0,0.0,0.0,0.0,1.0,0.014285714285714285,1.0,0.014285714285714285,1.0,0.014285714285714285,2.0,0.02857142857142857,3.0,0.04285714285714286,3.0,0.04285714285714286,4.0,0.05714285714285714,5.0,0.07142857142857142
